Ardyn(NPB,1,1);Bahamut(NPB,1,2);Chaos(NPB,1,3);Emet-Selch(NPB,1,4);Gilgamesh(NPB,1,5);Kefka(CMB,1,6);Memiroa(CMB,1,7);Necron(CMB,1,8);Sephiroth(CMB,1,9);Ultimecia(NTB,1,10)
Ardyn(NPB,12,1);Bahamut(NPB,12,2);Chaos(NPB,12,3);Emet-Selch(NPB,12,4);Gilgamesh(NPB,12,5);Kefka(CMB,12,6);Memiroa(CMB,12,7);Necron(CMB,12,8);Sephiroth(CMB,12,9);Ultimecia(NTB,12,10)
Ardyn(NPB,13,1);Bahamut(NPB,13,2);Chaos(NPB,13,3);Emet-Selch(NPB,13,4);Gilgamesh(NPB,13,5);Kefka(CMB,13,6);Memiroa(CMB,13,7);Necron(CMB,13,8);Sephiroth(CMB,13,9);Ultimecia(NTB,13,10)
Ardyn(NPB,14,1);Bahamut(NPB,14,2);Chaos(NPB,14,3);Emet-Selch(NPB,14,4);Gilgamesh(NPB,14,5);Kefka(CMB,14,6);Memiroa(CMB,14,7);Necron(CMB,14,8);Sephiroth(CMB,14,9);Ultimecia(NTB,14,10)
Ardyn(NPB,15,1);Bahamut(NPB,15,2);Chaos(NPB,15,3);Emet-Selch(NPB,15,4);Gilgamesh(NPB,15,5);Kefka(CMB,15,6);Memiroa(CMB,15,7);Necron(CMB,15,8);Sephiroth(CMB,15,9);Ultimecia(NTB,15,10)
Ardyn(NPB,16,1);Bahamut(NPB,16,2);Chaos(NPB,16,3);Emet-Selch(NPB,16,4);Gilgamesh(NPB,16,5);Kefka(CMB,16,6);Memiroa(CMB,16,7);Necron(CMB,16,8);Sephiroth(CMB,16,9);Ultimecia(NTB,16,10)
Ardyn(NPB,17,1);Bahamut(NPB,17,2);Chaos(NPB,17,3);Emet-Selch(NPB,17,4);Gilgamesh(NPB,17,5);Kefka(CMB,17,6);Memiroa(CMB,17,7);Necron(CMB,17,8);Sephiroth(CMB,17,9);Ultimecia(NTB,17,10)
Ardyn(NPB,18,1);Bahamut(NPB,18,2);Chaos(NPB,18,3);Emet-Selch(NPB,18,4);Gilgamesh(NPB,18,5);Kefka(CMB,18,6);Memiroa(CMB,18,7);Necron(CMB,18,8);Sephiroth(CMB,18,9);Ultimecia(NTB,18,10)
Ardyn(NPB,19,1);Bahamut(NPB,19,2);Chaos(NPB,19,3);Emet-Selch(NPB,19,4);Gilgamesh(NPB,19,5);Kefka(CMB,19,6);Memiroa(CMB,19,7);Necron(CMB,19,8);Sephiroth(CMB,19,9);Ultimecia(NTB,19,10)
Ardyn(NPB,20,1);Bahamut(NPB,20,2);Chaos(NPB,20,3);Emet-Selch(NPB,20,4);Gilgamesh(NPB,20,5);Kefka(CMB,20,6);Memiroa(CMB,20,7);Necron(CMB,20,8);Sephiroth(CMB,20,9);Ultimecia(NTB,20,10)
Ardyn(NPB,21,1);Bahamut(NPB,21,2);Chaos(NPB,21,3);Emet-Selch(NPB,21,4);Gilgamesh(NPB,21,5);Kefka(CMB,21,6);Memiroa(CMB,21,7);Necron(CMB,21,8);Sephiroth(CMB,21,9);Ultimecia(NTB,21,10)
Ardyn(NPB,22,1);Bahamut(NPB,22,2);Chaos(NPB,22,3);Emet-Selch(NPB,22,4);Gilgamesh(NPB,22,5);Kefka(CMB,22,6);Memiroa(CMB,22,7);Necron(CMB,22,8);Sephiroth(CMB,22,9);Ultimecia(NTB,22,10)
Ardyn(NPB,23,1);Bahamut(NPB,23,2);Chaos(NPB,23,3);Emet-Selch(NPB,23,4);Gilgamesh(NPB,23,5);Kefka(CMB,23,6);Memiroa(CMB,23,7);Necron(CMB,23,8);Sephiroth(CMB,23,9);Ultimecia(NTB,23,10)
Ardyn(NPB,24,1);Bahamut(NPB,24,2);Chaos(NPB,24,3);Emet-Selch(NPB,24,4);Gilgamesh(NPB,24,5);Kefka(CMB,24,6);Memiroa(CMB,24,7);Necron(CMB,24,8);Sephiroth(CMB,24,9);Ultimecia(NTB,24,10)
Ardyn(NPB,25,1);Bahamut(NPB,25,2);Chaos(NPB,25,3);Emet-Selch(NPB,25,4);Gilgamesh(NPB,25,5);Kefka(CMB,25,6);Memiroa(CMB,25,7);Necron(CMB,25,8);Sephiroth(CMB,25,9);Ultimecia(NTB,25,10)
Ardyn(NPB,26,1);Bahamut(NPB,26,2);Chaos(NPB,26,3);Emet-Selch(NPB,26,4);Gilgamesh(NPB,26,5);Kefka(CMB,26,6);Memiroa(CMB,26,7);Necron(CMB,26,8);Sephiroth(CMB,26,9);Ultimecia(NTB,26,10)
Ardyn(NPB,27,1);Bahamut(NPB,27,2);Chaos(NPB,27,3);Emet-Selch(NPB,27,4);Gilgamesh(NPB,27,5);Kefka(CMB,27,6);Memiroa(CMB,27,7);Necron(CMB,27,8);Sephiroth(CMB,27,9);Ultimecia(NTB,27,10)
Ardyn(NPB,28,1);Bahamut(NPB,28,2);Chaos(NPB,28,3);Emet-Selch(NPB,28,4);Gilgamesh(NPB,28,5);Kefka(CMB,28,6);Memiroa(CMB,28,7);Necron(CMB,28,8);Sephiroth(CMB,28,9);Ultimecia(NTB,28,10)
Ardyn(NPB,29,1);Bahamut(NPB,29,2);Chaos(NPB,29,3);Emet-Selch(NPB,29,4);Gilgamesh(NPB,29,5);Kefka(CMB,29,6);Memiroa(CMB,29,7);Necron(CMB,29,8);Sephiroth(CMB,29,9);Ultimecia(NTB,29,10)
Ardyn(NPB,30,1);Bahamut(NPB,30,2);Chaos(NPB,30,3);Emet-Selch(NPB,30,4);Gilgamesh(NPB,30,5);Kefka(CMB,30,6);Memiroa(CMB,30,7);Necron(CMB,30,8);Sephiroth(CMB,30,9);Ultimecia(NTB,30,10)
Ardyn(NPB,31,1);Bahamut(NPB,31,2);Chaos(NPB,31,3);Emet-Selch(NPB,31,4);Gilgamesh(NPB,31,5);Kefka(CMB,31,6);Memiroa(CMB,31,7);Necron(CMB,31,8);Sephiroth(CMB,31,9);Ultimecia(NTB,31,10)
Ardyn(NPB,32,1);Bahamut(NPB,32,2);Chaos(NPB,32,3);Emet-Selch(NPB,32,4);Gilgamesh(NPB,32,5);Kefka(CMB,32,6);Memiroa(CMB,32,7);Necron(CMB,32,8);Sephiroth(CMB,32,9);Ultimecia(NTB,32,10)
Ardyn(NPB,33,1);Bahamut(NPB,33,2);Chaos(NPB,33,3);Emet-Selch(NPB,33,4);Gilgamesh(NPB,33,5);Kefka(CMB,33,6);Memiroa(CMB,33,7);Necron(CMB,33,8);Sephiroth(CMB,33,9);Ultimecia(NTB,33,10)
Ardyn(NPB,34,1);Bahamut(NPB,34,2);Chaos(NPB,34,3);Emet-Selch(NPB,34,4);Gilgamesh(NPB,34,5);Kefka(CMB,34,6);Memiroa(CMB,34,7);Necron(CMB,34,8);Sephiroth(CMB,34,9);Ultimecia(NTB,34,10)
Ardyn(NPB,35,1);Bahamut(NPB,35,2);Chaos(NPB,35,3);Emet-Selch(NPB,35,4);Gilgamesh(NPB,35,5);Kefka(CMB,35,6);Memiroa(CMB,35,7);Necron(CMB,35,8);Sephiroth(CMB,35,9);Ultimecia(NTB,35,10)
Ardyn(NPB,36,1);Bahamut(NPB,36,2);Chaos(NPB,36,3);Emet-Selch(NPB,36,4);Gilgamesh(NPB,36,5);Kefka(CMB,36,6);Memiroa(CMB,36,7);Necron(CMB,36,8);Sephiroth(CMB,36,9);Ultimecia(NTB,36,10)
Ardyn(NPB,37,1);Bahamut(NPB,37,2);Chaos(NPB,37,3);Emet-Selch(NPB,37,4);Gilgamesh(NPB,37,5);Kefka(CMB,37,6);Memiroa(CMB,37,7);Necron(CMB,37,8);Sephiroth(CMB,37,9);Ultimecia(NTB,37,10)
Ardyn(NPB,38,1);Bahamut(NPB,38,2);Chaos(NPB,38,3);Emet-Selch(NPB,38,4);Gilgamesh(NPB,38,5);Kefka(CMB,38,6);Memiroa(CMB,38,7);Necron(CMB,38,8);Sephiroth(CMB,38,9);Ultimecia(NTB,38,10)
Ardyn(NPB,39,1);Bahamut(NPB,39,2);Chaos(NPB,39,3);Emet-Selch(NPB,39,4);Gilgamesh(NPB,39,5);Kefka(CMB,39,6);Memiroa(CMB,39,7);Necron(CMB,39,8);Sephiroth(CMB,39,9);Ultimecia(NTB,39,10)
Ardyn(NPB,40,1);Bahamut(NPB,40,2);Chaos(NPB,40,3);Emet-Selch(NPB,40,4);Gilgamesh(NPB,40,5);Kefka(CMB,40,6);Memiroa(CMB,40,7);Necron(CMB,40,8);Sephiroth(CMB,40,9);Ultimecia(NTB,40,10)
Ardyn(NPB,41,1);Bahamut(NPB,41,2);Chaos(NPB,41,3);Emet-Selch(NPB,41,4);Gilgamesh(NPB,41,5);Kefka(CMB,41,6);Memiroa(CMB,41,7);Necron(CMB,41,8);Sephiroth(CMB,41,9);Ultimecia(NTB,41,10)
Ardyn(NPB,42,1);Bahamut(NPB,42,2);Chaos(NPB,42,3);Emet-Selch(NPB,42,4);Gilgamesh(NPB,42,5);Kefka(CMB,42,6);Memiroa(CMB,42,7);Necron(CMB,42,8);Sephiroth(CMB,42,9);Ultimecia(NTB,42,10)
Ardyn(NPB,43,1);Bahamut(NPB,43,2);Chaos(NPB,43,3);Emet-Selch(NPB,43,4);Gilgamesh(NPB,43,5);Kefka(CMB,43,6);Memiroa(CMB,43,7);Necron(CMB,43,8);Sephiroth(CMB,43,9);Ultimecia(NTB,43,10)
Ardyn(NPB,44,1);Bahamut(NPB,44,2);Chaos(NPB,44,3);Emet-Selch(NPB,44,4);Gilgamesh(NPB,44,5);Kefka(CMB,44,6);Memiroa(CMB,44,7);Necron(CMB,44,8);Sephiroth(CMB,44,9);Ultimecia(NTB,44,10)
Ardyn(NPB,45,1);Bahamut(NPB,45,2);Chaos(NPB,45,3);Emet-Selch(NPB,45,4);Gilgamesh(NPB,45,5);Kefka(CMB,45,6);Memiroa(CMB,45,7);Necron(CMB,45,8);Sephiroth(CMB,45,9);Ultimecia(NTB,45,10)
Ardyn(NPB,46,1);Bahamut(NPB,46,2);Chaos(NPB,46,3);Emet-Selch(NPB,46,4);Gilgamesh(NPB,46,5);Kefka(CMB,46,6);Memiroa(CMB,46,7);Necron(CMB,46,8);Sephiroth(CMB,46,9);Ultimecia(NTB,46,10)
Ardyn(NPB,47,1);Bahamut(NPB,47,2);Chaos(NPB,47,3);Emet-Selch(NPB,47,4);Gilgamesh(NPB,47,5);Kefka(CMB,47,6);Memiroa(CMB,47,7);Necron(CMB,47,8);Sephiroth(CMB,47,9);Ultimecia(NTB,47,10)
Ardyn(NPB,48,1);Bahamut(NPB,48,2);Chaos(NPB,48,3);Emet-Selch(NPB,48,4);Gilgamesh(NPB,48,5);Kefka(CMB,48,6);Memiroa(CMB,48,7);Necron(CMB,48,8);Sephiroth(CMB,48,9);Ultimecia(NTB,48,10)
Ardyn(NPB,49,1);Bahamut(NPB,49,2);Chaos(NPB,49,3);Emet-Selch(NPB,49,4);Gilgamesh(NPB,49,5);Kefka(CMB,49,6);Memiroa(CMB,49,7);Necron(CMB,49,8);Sephiroth(CMB,49,9);Ultimecia(NTB,49,10)
Ardyn(NPB,50,1);Bahamut(NPB,50,2);Chaos(NPB,50,3);Emet-Selch(NPB,50,4);Gilgamesh(NPB,50,5);Kefka(CMB,50,6);Memiroa(CMB,50,7);Necron(CMB,50,8);Sephiroth(CMB,50,9);Ultimecia(NTB,50,10)
